abbr,k,s,skip,expand,ratio,error
av,40,10,4,21,0.19047619047619047,1
hiv,40,10,4,16,0.25,1
rbc,40,10,4,14,0.2857142857142857,0
cv,40,10,5,32,0.15625,0
pca,40,10,5,30,0.16666666666666666,1
ems,40,10,65,119,0.5462184873949579,3
ptt,40,10,18,62,0.2903225806451613,0
bal,40,10,26,56,0.4642857142857143,8
am,40,10,25,93,0.26881720430107525,2
ap,40,10,3,21,0.14285714285714285,1
jp,40,10,3,24,0.125,0
pt,40,10,18,143,0.1258741258741259,3
bp,40,10,3,5,0.6,0
ogt,40,10,6,18,0.3333333333333333,0
lcx,40,10,4,8,0.5,0
pcp,40,10,27,51,0.5294117647058824,0
mca,40,10,3,8,0.375,0
si,40,10,2,8,0.25,0
loc,40,10,12,20,0.6,0
ekg,40,10,15,25,0.6,0
av,40,15,4,29,0.13793103448275862,2
hiv,40,15,11,19,0.5789473684210527,2
rbc,40,15,7,16,0.4375,2
cv,40,15,6,14,0.42857142857142855,1
pca,40,15,23,51,0.45098039215686275,4
ems,40,15,27,67,0.40298507462686567,3
ptt,40,15,23,53,0.4339622641509434,0
bal,40,15,15,41,0.36585365853658536,0
am,40,15,46,127,0.36220472440944884,0
ap,40,15,6,17,0.35294117647058826,0
jp,40,15,23,57,0.40350877192982454,0
pt,40,15,8,105,0.0761904761904762,3
bp,40,15,1,27,0.037037037037037035,0
ogt,40,15,24,33,0.7272727272727273,1
lcx,40,15,1,11,0.09090909090909091,0
pcp,40,15,27,50,0.54,1
mca,40,15,23,41,0.5609756097560976,1
si,40,15,4,11,0.36363636363636365,1
loc,40,15,19,34,0.5588235294117647,1
ekg,40,15,3,5,0.6,0
